Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
202,Brian García,mx MEX,DF,Pachuca,28-112,1997,20,16,"1,479",16.4,1,0,1,1,0,0,0,0,0.06,0,0.06,0.06,0.06,Matches
203,Denzell García,mx MEX,"DF,MF",FC Juárez,22-189,2003,23,23,"1,932",21.5,2,1,3,2,0,0,3,0,0.09,0.05,0.14,0.09,0.14,Matches
204,Gael García,mx MEX,MF,León,22-008,2004,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
205,Jordan García,co COL,GK,León,20-245,2005,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
206,Jorge García,mx MEX,MF,Mazatlán,24-029,2002,6,1,173,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
207,José García,mx MEX,DF,FC Juárez,29-243,1996,15,10,983,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
208,Luan Garcia,br BRA,DF,Toluca,32-286,1993,2,1,98,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
209,Mateo García,ar ARG,MF,Atlas,29-163,1996,15,13,926,10.3,3,1,4,3,0,0,1,0,0.29,0.1,0.39,0.29,0.39,Matches
210,Miguel Garcia,mx MEX,MF,Atlético San Luis,24-129,2001,23,17,"1,415",15.7,1,2,3,1,0,0,3,0,0.06,0.13,0.19,0.06,0.19,Matches
211,Oscar Garcia,mx MEX,GK,León,23-013,2003,19,19,"1,710",19,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
212,Stanley García,mx MEX,MF,UNAM,19-151,2006,2,0,15,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
213,Bryan Garnica,mx MEX,"MF,DF",Puebla,29-269,1996,8,2,257,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
214,César Garza,mx MEX,MF,UNAM,20-234,2005,6,6,477,5.3,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
215,Jesús Garza,mx MEX,DF,UANL,25-259,2000,18,14,"1,194",13.3,0,1,1,0,0,0,2,0,0,0.08,0.08,0,0.08,Matches
216,Valentín Gauthier,uy URU,DF,León,22-196,2003,8,6,541,6,0,0,0,0,0,0,2,1,0,0,0,0,0,Matches
217,Mourad El Ghezouani,ma MAR,FW,Tijuana,27-269,1998,15,12,"1,084",12,2,0,2,2,0,0,4,1,0.17,0,0.17,0.17,0.17,Matches
218,André-Pierre Gignac,fr FRA,"FW,MF",UANL,40-077,1985,13,5,610,6.8,2,1,3,1,1,1,3,1,0.3,0.15,0.44,0.15,0.3,Matches
219,Said Godínez,mx MEX,MF,Mazatlán,21-117,2004,3,1,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
220,Alejandro Gómez,mx MEX,"DF,MF",Tijuana,24-020,2002,22,15,"1,455",16.2,1,0,1,1,0,0,3,0,0.06,0,0.06,0.06,0.06,Matches
221,Diego Gómez,mx MEX,MF,Necaxa,22-163,2003,2,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
222,Emiliano Gómez,uy URU,"MF,FW",Puebla,24-155,2001,22,18,"1,610",17.9,6,5,11,6,0,0,1,0,0.34,0.28,0.61,0.34,0.61,Matches
223,Miguel Gómez,mx MEX,"DF,MF",Guadalajara,23-144,2002,15,3,445,4.9,0,2,2,0,0,0,1,0,0,0.4,0.4,0,0.4,Matches
224,Jaime Gómez Valencia,mx MEX,"DF,MF",Querétaro,32-218,1993,18,16,"1,352",15,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
225,Alfonso González,mx MEX,MF,Atlas,31-168,1994,18,5,615,6.8,2,0,2,1,1,1,0,0,0.29,0,0.29,0.15,0.15,Matches
226,Alfonso González,mx MEX,MF,Monterrey,31-168,1994,1,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
227,Armando González,mx MEX,FW,Guadalajara,22-306,2003,23,19,"1,541",17.1,17,1,18,15,2,2,3,0,0.99,0.06,1.05,0.88,0.93,Matches
